"Timestamp","How do you address your seniors or supervisors in your workplace or educational institute?","How do you address the same seniors or supervisors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","How do you address your juniors in your workplace or educational institute?","How do you address the same juniors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","Suppose you just got a big promotion and are now in a senior position compared to your previous boss/supervisor. How would you address them now?","Suppose your junior just got a big promotion and is now in a senior position compared to you. How would you address them now?","How do you address your close friends?","How do you address your office colleagues or classmates?","How do you address your close elderly family members?","How do you address your siblings?","Are you more comfortable in holding important discussions on online electronic media or face to face meetings?"
"2020/09/08 11:33:35 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:33:51 PM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/08 11:34:15 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/08 11:35:13 PM GMT+7","Their first name","Bhaiya/Didi","Their first name","Their nickname","Sir/Ma'am","Their First name","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/08 11:35:55 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/08 11:36:31 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/08 11:37:14 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:37:52 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/08 11:38:47 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/08 11:39:06 PM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/08 11:40:07 PM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/08 11:40:38 PM GMT+7","Sir/Ma'am","Their nickname","Their nickname","Their nickname","Their nickname","Their nickname","Bro/Dude/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/08 11:40:43 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/08 11:40:49 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/08 11:41:10 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/08 11:41:51 PM GMT+7","Their first name","Sir/Ma'am","Their first name","Their nickname","Sir/Ma'am","Sir/Ma'am","Their nickname","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:43:09 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/08 11:43:50 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/08 11:44:12 PM GMT+7","Their nickname","Their nickname","Their nickname","Their nickname","Mister or Miss followed by their last name","Their nickname","Their nickname","Their nickname","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Neither of them"
"2020/09/08 11:44:17 PM GMT+7","Their first name","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/08 11:44:37 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Maybe still sir/ma'am.","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:45:40 PM GMT+7","Sir/Ma'am","Depends on age","Their first name","Their First name","Depends on age but maybe mister","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/08 11:46:05 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Online media"
"2020/09/08 11:46:44 PM GMT+7","Sir/Ma'am","Their First name","Their nickname","Their nickname","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Online media"
"2020/09/08 11:47:08 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/08 11:50:27 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
